document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does Bobolink warn Martin of when dealing with the pine dwarfs?,Bobolink warns Martin to avoid conversation with the dwarfs.,Avoid conversations with creatures,What does Bobolink warn Martin of when dealing with the pine dwarfs ?,Bobolink warns Martin to avoid conversation with the dwarfs .,Avoid conversations with creatures
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,How long does Martin say he will be gone?,Martin says he will be gone 4 weeks.,Four weeks,How long does Martin say he will be gone ?,Martin says he will be gone 4 weeks .,Four weeks
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does Martin converse with that causes him to become trapped?,He talks with a fish.,A fish,What does Martin converse with that causes him to become trapped ?,He talks with a fish .,A fish
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does the Princess put in her ears before going to find Martin?,She puts cotton in her ears. ,cotton,What does the Princess put in her ears before going to find Martin ?,She puts cotton in her ears .,cotton
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who do Martin and the Princess tell their story to?,They tell the story to a royal historian. ,Royal Historian,Who do Martin and the Princess tell their story to ?,They tell the story to a royal historian .,Royal Historian
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does Martin set out to find?,Martin is looking for a special toy for the princess. ,an amazing toy for the Princess,What does Martin set out to find ?,Martin is looking for a special toy for the princess .,an amazing toy for the Princess
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who is Martin's father?,Martin's father is the Prime Minister.,The Prime Minister,Who is Martin s father ?,Martin s father is the Prime Minister .,The Prime Minister
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What is the name of the character who knows everything?,Bobolink is the character who knows everything.,Bobolink,What is the name of the character who knows everything ?,Bobolink is the character who knows everything .,Bobolink
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,How old is Petulant?,8,eight,How old is Petulant ?,8,eight
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who is Martin's father?,the Prime Minister,The Prime Minister,Who is Martin s father ?,the Prime Minister,The Prime Minister
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,When does Martin say he'll have a toy for the King's daughter?,in 4 weeks,4 weeks,When does Martin say he ll have a toy for the King s daughter ?,in 4 weeks,4 weeks
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Why did the Purple Enchanter change his mind about helping the Prime Minister's son?,Martin didn't try to flatter him,His lack of flattery,Why did the Purple Enchanter change his mind about helping the Prime Minister s son ?,Martin did n't try to flatter him,His lack of flattery
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Where do Bobolink warn Martin he may get stuck?,in the country of conversation,in country of conversation,Where do Bobolink warn Martin he may get stuck ?,in the country of conversation,in country of conversation
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,How did the Princess avoid speaking on her way to the waterfall?,she stuffed cotton in her ears,Stuffs her ears with Cotton ,How did the Princess avoid speaking on her way to the waterfall ?,she stuffed cotton in her ears,Stuffs her ears with Cotton
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who helped the King's daughter find the Prime Minister's son?,a pine dwarf,a pine dwarf,Who helped the King s daughter find the Prime Minister s son ?,a pine dwarf,a pine dwarf
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What did Martin and Petulant do after their adventure?,told a Royal Historian their story,Tell the story to the Royal Historian,What did Martin and Petulant do after their adventure ?,told a Royal Historian their story,Tell the story to the Royal Historian
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Why did Martin become conversation?,he got distracted and spoke to a fish,he talks to a fish,Why did Martin become conversation ?,he got distracted and spoke to a fish,he talks to a fish
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who was able to satisfy the Princess?,the Toymaker,Playing with the bes toys,Who was able to satisfy the Princess ?,the Toymaker,Playing with the bes toys
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What is the name of the girl who cannot be made happy?,Petulant,Princess Petulant,What is the name of the girl who can not be made happy ?,Petulant,Princess Petulant
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does the Toymaker assist Princess Petulant and Martin with?,Going home,journey home,What does the Toymaker assist Princess Petulant and Martin with ?,Going home,journey home
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who is the Prime Minister's son?,Martin,Martin,Who is the Prime Minister s son ?,Martin,Martin
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does Bobolink know?,Everything,Everythin,What does Bobolink know ?,Everything,Everythin
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,How does Martin flatter Bobolink?,He does not ,by not flattering,How does Martin flatter Bobolink ?,He does not,by not flattering
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,How long does Martin say it will take him to get the new toy?,4 weeks,four weeks,How long does Martin say it will take him to get the new toy ?,4 weeks,four weeks
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who does Bobolink tell Martin not to talk to?,The pine dwarfs,pine dwwarves,Who does Bobolink tell Martin not to talk to ?,The pine dwarfs,pine dwwarves
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,What does the princess put in her ears?,cotton,Cotton,What does the princess put in her ears ?,cotton,Cotton
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who shows the princess the way to Martin?,A pine dwarf,Pine Dwarf,Who shows the princess the way to Martin ?,A pine dwarf,Pine Dwarf
4a92bf273183297c7b9e2a39e4ba9044d0eb1e33,test,Who do Martin and Princess Petulant go to see?,the Toymaker,Toymaker,Who do Martin and Princess Petulant go to see ?,the Toymaker,Toymaker
51f816f54645196b0a8f588f9ae955de103565f7,valid,"According to the note, who is Mary's father?",Jack.,Jack,"According to the note , who is Mary s father ?",Jack .,Jack
51f816f54645196b0a8f588f9ae955de103565f7,valid,Why did Peter and Michael believe that Mary was the package?,Jack called Peter and Michael and told them a package would be arriving that day.,Mary arrives on their doorstep when they expect a package.,Why did Peter and Michael believe that Mary was the package ?,Jack called Peter and Michael and told them a package would be arriving that day .,Mary arrives on their doorstep when they expect a package .
51f816f54645196b0a8f588f9ae955de103565f7,valid,Who delivered the actual package? ,"The landlady, Mrs. Hathaway.",Mrs. Hathaway,Who delivered the actual package ?,"The landlady , Mrs. Hathaway .",Mrs. Hathaway
51f816f54645196b0a8f588f9ae955de103565f7,valid,What was inside the package?,Heroin.,heroin,What was inside the package ?,Heroin .,heroin
51f816f54645196b0a8f588f9ae955de103565f7,valid,Why did Peter and Michael give Mary to the drug dealers?,Because they thought that she was the package.,It was an accident.,Why did Peter and Michael give Mary to the drug dealers ?,Because they thought that she was the package .,It was an accident .
51f816f54645196b0a8f588f9ae955de103565f7,valid,"After he realized their mistake, what did Peter give to the drug dealers?",A can of powdered milk.,powdered milk,"After he realized their mistake , what did Peter give to the drug dealers ?",A can of powdered milk .,powdered milk
51f816f54645196b0a8f588f9ae955de103565f7,valid,Who questioned Peter and Michael about the drugs?,Sgt. Melkowitz.,Sgt. Melkowitz,Who questioned Peter and Michael about the drugs ?,Sgt . Melkowitz .,Sgt . Melkowitz
51f816f54645196b0a8f588f9ae955de103565f7,valid,What is Sylvia's occupation?,An actress.,actor,What is Sylvia s occupation ?,An actress .,actor
51f816f54645196b0a8f588f9ae955de103565f7,valid,"How did Peter, Jack, and Michael trap the drug dealers?",They recorded their conversation. ,They recorded the conversation.,"How did Peter , Jack , and Michael trap the drug dealers ?",They recorded their conversation .,They recorded the conversation .
51f816f54645196b0a8f588f9ae955de103565f7,valid,Why didn't Sylvia and Mary go to London?,She didn't want to raise Mary alone.,She can't raise Mary alone,Why did n't Sylvia and Mary go to London ?,She did n't want to raise Mary alone .,She ca n't raise Mary alone
51f816f54645196b0a8f588f9ae955de103565f7,valid,Where do Michael ad Jack live ?,New York City,New York,Where do Michael ad Jack live ?,New York City,New York
51f816f54645196b0a8f588f9ae955de103565f7,valid,What arrives on their doorstep?,A Baby,a baby,What arrives on their doorstep ?,A Baby,a baby
51f816f54645196b0a8f588f9ae955de103565f7,valid,What does Peter leave to go buy?,Supplies,Whatever supplies are needed,What does Peter leave to go buy ?,Supplies,Whatever supplies are needed
51f816f54645196b0a8f588f9ae955de103565f7,valid,"What is the ""package "" supposed to contain?",Heroin,Heroin,What is the package supposed to contain ?,Heroin,Heroin
51f816f54645196b0a8f588f9ae955de103565f7,valid,Who comes to pick up the package the next day ?,Drug Dealers,The drug dealers,Who comes to pick up the package the next day ?,Drug Dealers,The drug dealers
51f816f54645196b0a8f588f9ae955de103565f7,valid,What is learned about Jack's friend?,He is a drug dealer,He is a drug dealer,What is learned about Jack s friend ?,He is a drug dealer,He is a drug dealer
51f816f54645196b0a8f588f9ae955de103565f7,valid,Who do Peter and Michael persuade ? ,Mrs. Hathaway,Mrs. Hathaway,Who do Peter and Michael persuade ?,Mrs. Hathaway,Mrs. Hathaway
51f816f54645196b0a8f588f9ae955de103565f7,valid,What does Peter discover about Jack's director friend on the news?,He was mugged,he's in the hospital ,What does Peter discover about Jack s director friend on the news ?,He was mugged,he s in the hospital
51f816f54645196b0a8f588f9ae955de103565f7,valid,Who asks for Mary back?,Sylvia,her mother,Who asks for Mary back ?,Sylvia,her mother
51f816f54645196b0a8f588f9ae955de103565f7,valid,Where did Sylvia not end up going?,London,London,Where did Sylvia not end up going ?,London,London
51f816f54645196b0a8f588f9ae955de103565f7,valid,What is the baby's name that showed up on the door step?,Mary,Mary,What is the baby s name that showed up on the door step ?,Mary,Mary
51f816f54645196b0a8f588f9ae955de103565f7,valid,What is the landlady's name?,Mrs. Hathaway,Mrs. Hathaway,What is the landlady s name ?,Mrs. Hathaway,Mrs. Hathaway
51f816f54645196b0a8f588f9ae955de103565f7,valid,What did Mrs. Hathaway drop off?,A package,Package of heroin,What did Mrs. Hathaway drop off ?,A package,Package of heroin
51f816f54645196b0a8f588f9ae955de103565f7,valid,What was in the package?,Heroin,heroin,What was in the package ?,Heroin,heroin
51f816f54645196b0a8f588f9ae955de103565f7,valid,What did Peter give to the two men drugdealers in trade for Mary?,A can of formula disquised as heroin,powdered milk,What did Peter give to the two men drugdealers in trade for Mary ?,A can of formula disquised as heroin,powdered milk
51f816f54645196b0a8f588f9ae955de103565f7,valid,What did the note say that Peter discovered?,"""Dont"" let this happen to you""",That the baby's father is Jack,What did the note say that Peter discovered ?,Dont let this happen to you,That the baby s father is Jack
51f816f54645196b0a8f588f9ae955de103565f7,valid,What was the note refering to?,A newspaper clipping of Jack's friend being hospitlized after being mugged and kidknapped,Mary is Jack's child.,What was the note refering to ?,A newspaper clipping of Jack s friend being hospitlized after being mugged and kidknapped,Mary is Jack s child .
51f816f54645196b0a8f588f9ae955de103565f7,valid,Who arrives at Peters apartment asking to bring Mary to London?,Sylvia/ Nancy Travis,Sylvia,Who arrives at Peters apartment asking to bring Mary to London ?,Sylvia/ Nancy Travis,Sylvia
51f816f54645196b0a8f588f9ae955de103565f7,valid,Where was Sylvia and Mary while Peter was at the airport?,Back at Peters apartment as she didn't want to raise Mary alone,At home,Where was Sylvia and Mary while Peter was at the airport ?,Back at Peters apartment as she did n't want to raise Mary alone,At home
5806789ebca66b68e86317d0e09b8a433c236280,valid,What is Sweden attacked by?,The plague.,A plague ,What is Sweden attacked by ?,The plague .,A plague
5806789ebca66b68e86317d0e09b8a433c236280,valid,What is being painted in a church?,A watercolor painting on the Dance of Death.,A fresco of the Dance of Death ,What is being painted in a church ?,A watercolor painting on the Dance of Death .,A fresco of the Dance of Death
5806789ebca66b68e86317d0e09b8a433c236280,valid,Why does Antonius want the woman to summon Satan?,To ask Satan about God.,So he can ask Satan about God.,Why does Antonius want the woman to summon Satan ?,To ask Satan about God .,So he can ask Satan about God .
5806789ebca66b68e86317d0e09b8a433c236280,valid,What does the squire draw?,A figure of himself.,himself in the fresco,What does the squire draw ?,A figure of himself .,himself in the fresco
5806789ebca66b68e86317d0e09b8a433c236280,valid,When does the juggler decide to flee with his family?,When he sees Death is busy.,While Death is preoccupied.,When does the juggler decide to flee with his family ?,When he sees Death is busy .,While Death is preoccupied .
5806789ebca66b68e86317d0e09b8a433c236280,valid,What does Raval plead for?,Water.,Water.,What does Raval plead for ?,Water .,Water .
5806789ebca66b68e86317d0e09b8a433c236280,valid,What does Death ask Antonius?,"If Antonius has succeeded in his ""one meaningful deed.""",Did he accomplish his meaningful deed.,What does Death ask Antonius ?,If Antonius has succeeded in his one meaningful deed .,Did he accomplish his meaningful deed .
5806789ebca66b68e86317d0e09b8a433c236280,valid,Who is the only occupant of Antonius' castle?,His wife.,Karin,Who is the only occupant of Antonius ' castle ?,His wife .,Karin
5806789ebca66b68e86317d0e09b8a433c236280,valid,What does Antonius give the woman who summoned Satan as she falls in pain?,Herbs.,Herbs ,What does Antonius give the woman who summoned Satan as she falls in pain ?,Herbs .,Herbs
5806789ebca66b68e86317d0e09b8a433c236280,valid,What was Sweden being ravaged with upon the Knight and Squires return?,The Plague,the plague,What was Sweden being ravaged with upon the Knight and Squires return ?,The Plague,the plague
5806789ebca66b68e86317d0e09b8a433c236280,valid,The Knight asks the girl to summon who?,Satan,Satan,The Knight asks the girl to summon who ?,Satan,Satan
5806789ebca66b68e86317d0e09b8a433c236280,valid,Raval forced the juggler to do what?,Dance on the tabled like a bear.,Dance on the tables at a public house.,Raval forced the juggler to do what ?,Dance on the tabled like a bear .,Dance on the tables at a public house .
5806789ebca66b68e86317d0e09b8a433c236280,valid,The Knight enjoyed a picnic containing what?,Milk and wild strawberries,milk and strawberries,The Knight enjoyed a picnic containing what ?,Milk and wild strawberries,milk and strawberries
5806789ebca66b68e86317d0e09b8a433c236280,valid,"Jof who is also a juggler, has visions of what?",God and Mary,Jesus and Mary ,"Jof who is also a juggler , has visions of what ?",God and Mary,Jesus and Mary
5806789ebca66b68e86317d0e09b8a433c236280,valid,The Theolgonian pled for what while on his death bed?,Water,water,The Theolgonian pled for what while on his death bed ?,Water,water
5806789ebca66b68e86317d0e09b8a433c236280,valid,Who was the Knight joined by in the confessional?,Death in the robe of a priest.,death,Who was the Knight joined by in the confessional ?,Death in the robe of a priest .,death
5806789ebca66b68e86317d0e09b8a433c236280,valid,Who does not see death in the end?,Everyone except for Jof,all but Jof and the Juggler,Who does not see death in the end ?,Everyone except for Jof,all but Jof and the Juggler
5806789ebca66b68e86317d0e09b8a433c236280,valid,The Squire saves who?,A servant girl from being raped by a man robbing a corpse,the servant girl,The Squire saves who ?,A servant girl from being raped by a man robbing a corpse,the servant girl
5806789ebca66b68e86317d0e09b8a433c236280,valid,What did the Squire draw in the church?,A small figure of himself,a figure of himself,What did the Squire draw in the church ?,A small figure of himself,a figure of himself
5806789ebca66b68e86317d0e09b8a433c236280,valid,What does Antonius discover is ravaging Sweden in the Middle Ages?,The plague.,the plague,What does Antonius discover is ravaging Sweden in the Middle Ages ?,The plague .,the plague
5806789ebca66b68e86317d0e09b8a433c236280,valid,What has Antonius been fighting before returning to Sweden?,The Crusades.,the crusades,What has Antonius been fighting before returning to Sweden ?,The Crusades .,the crusades
5806789ebca66b68e86317d0e09b8a433c236280,valid,What is death disguised as?,A monk.,a priest,What is death disguised as ?,A monk .,a priest
5806789ebca66b68e86317d0e09b8a433c236280,valid,What type of game does the Knight challenge death to?,A Chess Match.,chess,What type of game does the Knight challenge death to ?,A Chess Match .,chess
5806789ebca66b68e86317d0e09b8a433c236280,valid,What does the Knight hope to prolong by playing chess?,His own death.,his death,What does the Knight hope to prolong by playing chess ?,His own death .,his death
5806789ebca66b68e86317d0e09b8a433c236280,valid,What is Jof's relationship to Mia?,Jof is Mia's husband.,they are married,What is Jof s relationship to Mia ?,Jof is Mia s husband .,they are married
5806789ebca66b68e86317d0e09b8a433c236280,valid,With whom does the entertainers' manager have an affair?,"Lisa, the blacksmith's wife.",The Blacksmith's wife.,With whom does the entertainers ' manager have an affair ?,"Lisa , the blacksmith s wife .",The Blacksmith s wife .
5806789ebca66b68e86317d0e09b8a433c236280,valid,Where does the Knight take the entertainers to escape the plague?,The Knight's castle.,His castle ,Where does the Knight take the entertainers to escape the plague ?,The Knight s castle .,His castle
5806789ebca66b68e86317d0e09b8a433c236280,valid,What does death cut down to get to the entertainers' manager?,A tree.,a tree,What does death cut down to get to the entertainers ' manager ?,A tree .,a tree
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who is the new drama critic?,Steven Schwimmer,Steven Schwimmer.,Who is the new drama critic ?,Steven Schwimmer,Steven Schwimmer .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who intends on killing Steven Schwimmer?,Nicky Rogan,Nicky Rogan,Who intends on killing Steven Schwimmer ?,Nicky Rogan,Nicky Rogan
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Where does Rogan spend his time on opening night? ,At a bar,A bar,Where does Rogan spend his time on opening night ?,At a bar,A bar
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who does the lady think Rogan is?,A hoodlum,A hoodlem.,Who does the lady think Rogan is ?,A hoodlum,A hoodlem .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What game of the World Series is Rogan watching?,Game 6,Game 6. ,What game of the World Series is Rogan watching ?,Game 6,Game 6 .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who are the Boston Red Sox playing?,The New York Mets,The New York Mets.,Who are the Boston Red Sox playing ?,The New York Mets,The New York Mets .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who is the critic with when Rogan finds him?,Rogan's daughter,The playwright's daughter. ,Who is the critic with when Rogan finds him ?,Rogan s daughter,The playwright s daughter .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Where does Rogan re-watch the game?,In Steven Schwimmer's apartment,In the critic's apartment ,Where does Rogan re-watch the game ?,In Steven Schwimmer s apartment,In the critic s apartment
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What does Rogan intend to use to hurt the critic?,A gun,A handgun. ,What does Rogan intend to use to hurt the critic ?,A gun,A handgun .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Why does Rogan leave the bar in a rage?,The Red Sox lose,Because the red sox lost ,Why does Rogan leave the bar in a rage ?,The Red Sox lose,Because the red sox lost
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who is the main character?,Nicky Rogan,Nicky Rogan,Who is the main character ?,Nicky Rogan,Nicky Rogan
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What game was being played in the bar?,"World Series, game 6.","baseball, world series playoff",What game was being played in the bar ?,"World Series , game 6 .","baseball , world series playoff"
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who was playing in the World Series?,Red Sox vs the Mets,The Red Sox and the Mets ,Who was playing in the World Series ?,Red Sox vs the Mets,The Red Sox and the Mets
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who is the newspaper's latest critic?,Steven Schwimmer,Steven Schwimmer.,Who is the newspaper s latest critic ?,Steven Schwimmer,Steven Schwimmer .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Why did the Red Sox lose game six?,Due to an unexpected pair of errors in the final inning.,A pair of errors in the final inning,Why did the Red Sox lose game six ?,Due to an unexpected pair of errors in the final inning .,A pair of errors in the final inning
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What did Nicky Rogan do after the Red Sox lost?,"He snapped, planning to kill the critic.",He takes out his rage on the newspaper critic. ,What did Nicky Rogan do after the Red Sox lost ?,"He snapped , planning to kill the critic .",He takes out his rage on the newspaper critic .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Rogan was misidentified as a minor hoodlum by whom?,A lady cabdriver.,The lady cab driver ,Rogan was misidentified as a minor hoodlum by whom ?,A lady cabdriver .,The lady cab driver
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who watched the game with Nicky in the bar?,A lady cab driver and her grandson.,A cab driver and her grandson,Who watched the game with Nicky in the bar ?,A lady cab driver and her grandson .,A cab driver and her grandson
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Whom was Steven in bed with when Nicky burst into his room?,The playwright's daughter.,The playwrights daughter,Whom was Steven in bed with when Nicky burst into his room ?,The playwright s daughter .,The playwrights daughter
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Why didn't Nicky kill the critic?,The critic was also devastated because of the game.,HE was also upset the red sox lost ,Why did n't Nicky kill the critic ?,The critic was also devastated because of the game .,HE was also upset the red sox lost
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What happens during opening hour?,Rogan falls prey to fears and doubts. ,Rogan was nervous about his play and decided to kill the drama critic for the local newspaper,What happens during opening hour ?,Rogan falls prey to fears and doubts .,Rogan was nervous about his play and decided to kill the drama critic for the local newspaper
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who is Nicky Rogan? ,Nicky Rogan is a successful play writer. ,a platwright,Who is Nicky Rogan ?,Nicky Rogan is a successful play writer .,a platwright
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Where does Rogan go during opening night of his latest play?,Rogan goes to a bar. ,To a bar,Where does Rogan go during opening night of his latest play ?,Rogan goes to a bar .,To a bar
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What sport is being played at the bar on TV?,The World Series Game 6 (baseball) is on TV at the bar. ,Baseball,What sport is being played at the bar on TV ?,The World Series Game 6 ( baseball ) is on TV at the bar .,Baseball
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who is the critic?,The critic is Steven Schwimmer. ,Schwimmer ,Who is the critic ?,The critic is Steven Schwimmer .,Schwimmer
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What is Schwimmer doing when Rogan finds him?,Schwimmer is deflowering Rogan's daughter. ,Deflowering the playwright's daughter. ,What is Schwimmer doing when Rogan finds him ?,Schwimmer is deflowering Rogan s daughter .,Deflowering the playwright s daughter .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Whom caused Rogan to buy a gun over?,Steven Schwimmer irritated Rogan enough to lead him to get a gun. ,Steven Schwimmer,Whom caused Rogan to buy a gun over ?,Steven Schwimmer irritated Rogan enough to lead him to get a gun .,Steven Schwimmer
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,What sparked Rogan to begin firing at Schwimmer?,The inevitable of the game between the Red Sox and the Mets.,Schwimmer was having relations with Rogan's daughter,What sparked Rogan to begin firing at Schwimmer ?,The inevitable of the game between the Red Sox and the Mets .,Schwimmer was having relations with Rogan s daughter
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Who lost the World Series Game?,The Boston Red Sox lost. ,The Soxs.,Who lost the World Series Game ?,The Boston Red Sox lost .,The Soxs .
6b1832c46e0b3566463444ec9209b8f1ed6c7ac6,valid,Why did Rogan not kill Schwimmer?,Because Schwimmer was also upset about the Red Sox losing the game. ,He finds out Schwimmer is also upset about the Red Sox loss.,Why did Rogan not kill Schwimmer ?,Because Schwimmer was also upset about the Red Sox losing the game .,He finds out Schwimmer is also upset about the Red Sox loss .
7624f5ec68a86da9bc7120192f863e824c675925,test,"Who's name means ""mud"" and ""slime"" in Neapolitan?",Zoza,Zoza,Who s name means mud and slime in Neapolitan ?,Zoza,Zoza
7624f5ec68a86da9bc7120192f863e824c675925,test,What can Zoza not do no matter how hard her father tries?,Laugh,Laugh.,What can Zoza not do no matter how hard her father tries ?,Laugh,Laugh .
7624f5ec68a86da9bc7120192f863e824c675925,test,What was the purpose of the fountain of oil?,That people would slip and fall causing Zoza to laugh.,People slipping in the oil would be humorous.,What was the purpose of the fountain of oil ?,That people would slip and fall causing Zoza to laugh .,People slipping in the oil would be humorous .
7624f5ec68a86da9bc7120192f863e824c675925,test,Why was a curse put on Zoza by the old woman?,Zoza laughed at the woman when her pail broke and she danced about with anger,She is not able to laugh.,Why was a curse put on Zoza by the old woman ?,Zoza laughed at the woman when her pail broke and she danced about with anger,She is not able to laugh .
7624f5ec68a86da9bc7120192f863e824c675925,test,How many days were given to Zoza to find her prince in the curse?,3 days,Three.,How many days were given to Zoza to find her prince in the curse ?,3 days,Three .
7624f5ec68a86da9bc7120192f863e824c675925,test,What does the new slave-queen force the prince to do in order to keep her from crushing her unborn child?,tell her stories,She demands her husband tell her stories.,What does the new slave-queen force the prince to do in order to keep her from crushing her unborn child ?,tell her stories,She demands her husband tell her stories .
7624f5ec68a86da9bc7120192f863e824c675925,test,How does Zoza reveal the slave queen?,disguises herself as a story teller and tells the story of the slave queen,In the final story.,How does Zoza reveal the slave queen ?,disguises herself as a story teller and tells the story of the slave queen,In the final story .
7624f5ec68a86da9bc7120192f863e824c675925,test,How was the slave queen punished?,buried in the ground and left to die,She was buried in the ground while pregnant.,How was the slave queen punished ?,buried in the ground and left to die,She was buried in the ground while pregnant .
7624f5ec68a86da9bc7120192f863e824c675925,test,How many stories were told by the each of the ten story tellers?,five,five,How many stories were told by the each of the ten story tellers ?,five,five
7624f5ec68a86da9bc7120192f863e824c675925,test,What is the name of the princess in the frame story?,Zoza,Zoza,What is the name of the princess in the frame story ?,Zoza,Zoza
7624f5ec68a86da9bc7120192f863e824c675925,test,What does her father do to try to make her laugh?,Sets up a fountain of oil to make people fall.,sets up a fountain of oil by the door so people will slip and fall,What does her father do to try to make her laugh ?,Sets up a fountain of oil to make people fall .,sets up a fountain of oil by the door so people will slip and fall
7624f5ec68a86da9bc7120192f863e824c675925,test,Who made Zoza laugh?,An old woman,The angry old woman,Who made Zoza laugh ?,An old woman,The angry old woman
7624f5ec68a86da9bc7120192f863e824c675925,test,What did the old woman do to Zoza?,put a curse on her to marry only the prince of Round-Field,She put a curse on her.,What did the old woman do to Zoza ?,put a curse on her to marry only the prince of Round-Field,She put a curse on her .
7624f5ec68a86da9bc7120192f863e824c675925,test,What did Zoza have to do to marry the prince?,Cry a pitcher full of tears in three days.,Filling a pitcher with tears in 3 days,What did Zoza have to do to marry the prince ?,Cry a pitcher full of tears in three days .,Filling a pitcher with tears in 3 days
7624f5ec68a86da9bc7120192f863e824c675925,test,Who stole the pitcher and claimed the prince?,A Moorish slave,a Moorish,Who stole the pitcher and claimed the prince ?,A Moorish slave,a Moorish
7624f5ec68a86da9bc7120192f863e824c675925,test,What does the slave queen demand her husband do?,tell stories,Tell her stories.,What does the slave queen demand her husband do ?,tell stories,Tell her stories .
7624f5ec68a86da9bc7120192f863e824c675925,test,What does the slave queen threaten to do to their unborn baby?,crush it,crush it.,What does the slave queen threaten to do to their unborn baby ?,crush it,crush it .
7624f5ec68a86da9bc7120192f863e824c675925,test,What happenes when the Moorish womans treachery is revealed?,She is buried up to her neck and left to die with her unborn baby.,She was buried pregnant and left to die,What happenes when the Moorish womans treachery is revealed ?,She is buried up to her neck and left to die with her unborn baby .,She was buried pregnant and left to die
7624f5ec68a86da9bc7120192f863e824c675925,test,Who lives happily ever after?,Zoza and the Prince,Zoza and the prince.,Who lives happily ever after ?,Zoza and the Prince,Zoza and the prince .
7624f5ec68a86da9bc7120192f863e824c675925,test,What is wrong with the princess?,She had a bad spell put on her.,She cant laugh.,What is wrong with the princess ?,She had a bad spell put on her .,She cant laugh .
7624f5ec68a86da9bc7120192f863e824c675925,test,What are the results of the curse?,The princess is very sad and down.,Zoza would only be able to marry the Prince of Round-Field.,What are the results of the curse ?,The princess is very sad and down .,Zoza would only be able to marry the Prince of Round-Field .
7624f5ec68a86da9bc7120192f863e824c675925,test,What does the princesses father do for her?,He does puts oil down for people to slip and fall to get her to laugh.,tries to get her to laugh,What does the princesses father do for her ?,He does puts oil down for people to slip and fall to get her to laugh .,tries to get her to laugh
